B19013_001E,name,county,county subdivision,state
60714.0,"Belvidere town, Lamoille County, Vermont",015,04375,50
54549.0,"Stowe town, Lamoille County, Vermont",015,70525,50
47400.0,"Morristown town, Lamoille County, Vermont",015,46675,50
66776.0,"Waterville town, Lamoille County, Vermont",015,77425,50
62023.0,"Cambridge town, Lamoille County, Vermont",015,11500,50
58029.0,"Wolcott town, Lamoille County, Vermont",015,85375,50
53906.0,"Eden town, Lamoille County, Vermont",015,23500,50
36833.0,"Johnson town, Lamoille County, Vermont",015,37075,50
78229.0,"Elmore town, Lamoille County, Vermont",015,23725,50
55170.0,"Hyde Park town, Lamoille County, Vermont",015,35050,50
49519.0,"Ludlow town, Windsor County, Vermont",027,41275,50
49375.0,"Cavendish town, Windsor County, Vermont",027,12250,50
48011.0,"Royalton town, Windsor County, Vermont",027,60850,50
72692.0,"Weston town, Windsor County, Vermont",027,82000,50
74556.0,"Woodstock town, Windsor County, Vermont",027,85975,50
49688.0,"Andover town, Windsor County, Vermont",027,01300,50
41906.0,"Springfield town, Windsor County, Vermont",027,69550,50
60781.0,"Weathersfield town, Windsor County, Vermont",027,77500,50
59762.0,"Stockbridge town, Windsor County, Vermont",027,70375,50
109648.0,"Norwich town, Windsor County, Vermont",027,52900,50
91042.0,"Pomfret town, Windsor County, Vermont",027,56350,50
68438.0,"Sharon town, Windsor County, Vermont",027,63775,50
67727.0,"West Windsor town, Windsor County, Vermont",027,83050,50
73750.0,"Baltimore town, Windsor County, Vermont",027,02575,50
69063.0,"Barnard town, Windsor County, Vermont",027,02725,50
62378.0,"Hartland town, Windsor County, Vermont",027,32425,50
62170.0,"Hartford town, Windsor County, Vermont",027,32275,50
47981.0,"Reading town, Windsor County, Vermont",027,58375,50
46750.0,"Windsor town, Windsor County, Vermont",027,84925,50
56250.0,"Plymouth town, Windsor County, Vermont",027,56050,50
62813.0,"Bridgewater town, Windsor County, Vermont",027,08275,50
46164.0,"Chester town, Windsor County, Vermont",027,13675,50
50938.0,"Rochester town, Windsor County, Vermont",027,60100,50
56641.0,"Bethel town, Windsor County, Vermont",027,05800,50
84500.0,"Fletcher town, Franklin County, Vermont",011,26500,50
64410.0,"Bakersfield town, Franklin County, Vermont",011,02500,50
71227.0,"Fairfax town, Franklin County, Vermont",011,24925,50
84880.0,"Georgia town, Franklin County, Vermont",011,27700,50
64141.0,"Swanton town, Franklin County, Vermont",011,71725,50
61226.0,"St. Albans town, Franklin County, Vermont",011,61750,50
53182.0,"Berkshire town, Franklin County, Vermont",011,05425,50
50247.0,"St. Albans city, Franklin County, Vermont",011,61675,50
58611.0,"Franklin town, Franklin County, Vermont",011,27100,50
41513.0,"Montgomery town, Franklin County, Vermont",011,45850,50
69583.0,"Sheldon town, Franklin County, Vermont",011,64600,50
57819.0,"Highgate town, Franklin County, Vermont",011,33025,50
46094.0,"Richford town, Franklin County, Vermont",011,59125,50
82500.0,"Fairfield town, Franklin County, Vermont",011,25225,50
44545.0,"Hardwick town, Caledonia County, Vermont",005,31825,50
58333.0,"Sutton town, Caledonia County, Vermont",005,71575,50
60694.0,"Danville town, Caledonia County, Vermont",005,17125,50
54432.0,"Ryegate town, Caledonia County, Vermont",005,61525,50
39806.0,"St. Johnsbury town, Caledonia County, Vermont",005,62200,50
67011.0,"Waterford town, Caledonia County, Vermont",005,77125,50
64432.0,"Peacham town, Caledonia County, Vermont",005,54400,50
49519.0,"Walden town, Caledonia County, Vermont",005,75700,50
41464.0,"Lyndon town, Caledonia County, Vermont",005,41725,50
44485.0,"Newark town, Caledonia County, Vermont",005,47725,50
47250.0,"Groton town, Caledonia County, Vermont",005,30550,50
60833.0,"Kirby town, Caledonia County, Vermont",005,37900,50
45625.0,"Stannard town, Caledonia County, Vermont",005,69925,50
61250.0,"Wheelock town, Caledonia County, Vermont",005,83500,50
58500.0,"Barnet town, Caledonia County, Vermont",005,02875,50
52500.0,"Burke town, Caledonia County, Vermont",005,10450,50
51750.0,"Sheffield town, Caledonia County, Vermont",005,64075,50
42596.0,"Rockingham town, Windham County, Vermont",025,60250,50
69500.0,"Vernon town, Windham County, Vermont",025,74800,50
53438.0,"Jamaica town, Windham County, Vermont",025,36175,50
44359.0,"Brattleboro town, Windham County, Vermont",025,07900,50
62614.0,"Guilford town, Windham County, Vermont",025,30925,50
50795.0,"Halifax town, Windham County, Vermont",025,31150,50
66528.0,"Marlboro town, Windham County, Vermont",025,43375,50
47841.0,"Wardsboro town, Windham County, Vermont",025,76225,50
55395.0,"Whitingham town, Windham County, Vermont",025,83950,50
50363.0,"Dover town, Windham County, Vermont",025,17875,50
67292.0,"Brookline town, Windham County, Vermont",025,09475,50
41406.0,"Athens town, Windham County, Vermont",025,01900,50
58750.0,"Windham town, Windham County, Vermont",025,84850,50
62594.0,"Dummerston town, Windham County, Vermont",025,18325,50
52188.0,"Grafton town, Windham County, Vermont",025,28900,50
52377.0,"Londonderry town, Windham County, Vermont",025,40225,50
55556.0,"Newfane town, Windham County, Vermont",025,48400,50
49506.0,"Putney town, Windham County, Vermont",025,57700,50
49471.0,"Westminster town, Windham County, Vermont",025,81400,50
54716.0,"Townshend town, Windham County, Vermont",025,73300,50
80750.0,"Stratton town, Windham County, Vermont",025,70750,50
51034.0,"Wilmington town, Windham County, Vermont",025,84700,50
-666666666.0,"Somerset town, Windham County, Vermont",025,65762,50
82031.0,"Peru town, Bennington County, Vermont",003,55000,50
55156.0,"Rupert town, Bennington County, Vermont",003,61000,50
-666666666.0,"Glastenbury town, Bennington County, Vermont",003,27962,50
49444.0,"Sandgate town, Bennington County, Vermont",003,62875,50
47917.0,"Woodford town, Bennington County, Vermont",003,85675,50
53750.0,"Winhall town, Bennington County, Vermont",003,85075,50
51490.0,"Arlington town, Bennington County, Vermont",003,01450,50
86750.0,"Landgrove town, Bennington County, Vermont",003,39025,50
50000.0,"Searsburg town, Bennington County, Vermont",003,63175,50
35625.0,"Readsboro town, Bennington County, Vermont",003,58600,50
54306.0,"Manchester town, Bennington County, Vermont",003,42850,50
58472.0,"Sunderland town, Bennington County, Vermont",003,71425,50
46337.0,"Bennington town, Bennington County, Vermont",003,04825,50
59458.0,"Pownal town, Bennington County, Vermont",003,57025,50
65164.0,"Shaftsbury town, Bennington County, Vermont",003,63550,50
69750.0,"Stamford town, Bennington County, Vermont",003,69775,50
73021.0,"Dorset town, Bennington County, Vermont",003,17725,50
79226.0,"Cornwall town, Addison County, Vermont",001,16000,50
59444.0,"Panton town, Addison County, Vermont",001,53950,50
61250.0,"Shoreham town, Addison County, Vermont",001,65050,50
71250.0,"Waltham town, Addison County, Vermont",001,76075,50
62019.0,"Salisbury town, Addison County, Vermont",001,62575,50
64625.0,"Lincoln town, Addison County, Vermont",001,40075,50
56250.0,"Vergennes city, Addison County, Vermont",001,74650,50
62159.0,"Bridport town, Addison County, Vermont",001,08575,50
55000.0,"Granville town, Addison County, Vermont",001,29575,50
68980.0,"Starksboro town, Addison County, Vermont",001,70075,50
51250.0,"Whiting town, Addison County, Vermont",001,83800,50
41875.0,"Goshen town, Addison County, Vermont",001,28600,50
41250.0,"Hancock town, Addison County, Vermont",001,31525,50
63889.0,"New Haven town, Addison County, Vermont",001,48700,50
82788.0,"Weybridge town, Addison County, Vermont",001,83275,50
56979.0,"Orwell town, Addison County, Vermont",001,53725,50
48125.0,"Ripton town, Addison County, Vermont",001,59650,50
63472.0,"Leicester town, Addison County, Vermont",001,39325,50
53250.0,"Middlebury town, Addison County, Vermont",001,44350,50
78712.0,"Addison town, Addison County, Vermont",001,00325,50
85625.0,"Monkton town, Addison County, Vermont",001,45550,50
51417.0,"Bristol town, Addison County, Vermont",001,09025,50
40000.0,"Brunswick town, Essex County, Vermont",009,10075,50
34375.0,"Averill town, Essex County, Vermont",009,02125,50
-666666666.0,"Avery's gore, Essex County, Vermont",009,02162,50
40625.0,"Guildhall town, Essex County, Vermont",009,30775,50
50536.0,"Norton town, Essex County, Vermont",009,52750,50
38000.0,"Victory town, Essex County, Vermont",009,75175,50
39917.0,"Canaan town, Essex County, Vermont",009,11800,50
40000.0,"East Haven town, Essex County, Vermont",009,21250,50
-666666666.0,"Lewis town, Essex County, Vermont",009,39775,50
-666666666.0,"Warren's gore, Essex County, Vermont",009,76562,50
40938.0,"Bloomfield town, Essex County, Vermont",009,06325,50
26094.0,"Lemington town, Essex County, Vermont",009,39700,50
63750.0,"Maidstone town, Essex County, Vermont",009,42475,50
34737.0,"Brighton town, Essex County, Vermont",009,08725,50
-666666666.0,"Warner's grant, Essex County, Vermont",009,76337,50
33125.0,"Granby town, Essex County, Vermont",009,29125,50
51458.0,"Concord town, Essex County, Vermont",009,15250,50
36125.0,"Lunenburg town, Essex County, Vermont",009,41425,50
-666666666.0,"Ferdinand town, Essex County, Vermont",009,25975,50
59792.0,"Berlin town, Washington County, Vermont",023,05650,50
67844.0,"East Montpelier town, Washington County, Vermont",023,21925,50
63438.0,"Woodbury town, Washington County, Vermont",023,85525,50
49167.0,"Worcester town, Washington County, Vermont",023,86125,50
78264.0,"Waitsfield town, Washington County, Vermont",023,75325,50
75000.0,"Duxbury town, Washington County, Vermont",023,18550,50
56667.0,"Roxbury town, Washington County, Vermont",023,60625,50
65750.0,"Waterbury town, Washington County, Vermont",023,76975,50
64766.0,"Calais town, Washington County, Vermont",023,11350,50
74188.0,"Middlesex town, Washington County, Vermont",023,44500,50
69375.0,"Moretown town, Washington County, Vermont",023,46225,50
48529.0,"Plainfield town, Washington County, Vermont",023,55825,50
66250.0,"Warren town, Washington County, Vermont",023,76525,50
60833.0,"Marshfield town, Washington County, Vermont",023,43600,50
60793.0,"Montpelier city, Washington County, Vermont",023,46000,50
67750.0,"Northfield town, Washington County, Vermont",023,50275,50
79940.0,"Fayston town, Washington County, Vermont",023,25825,50
43864.0,"Cabot town, Washington County, Vermont",023,11125,50
70521.0,"Barre town, Washington County, Vermont",023,03250,50
35225.0,"Barre city, Washington County, Vermont",023,03175,50
55714.0,"Alburgh town, Grand Isle County, Vermont",013,00860,50
54900.0,"Enosburgh town, Franklin County, Vermont",011,24050,50
67414.0,"Ferrisburgh town, Addison County, Vermont",001,26300,50
